1035 5 598 2
320344732 21447282 646301911 628433542 770711024 
699193594 186210315 732700575 110080859 407938222 
35545507 297537359 240707885 982977098 650002547 
935360694 534988781 986897279 696975733 221305718 
964603890 538932684 380145236 693542406 392670414 
582883826 306162475 305577065 310577836 511382582 
774289235 741288994 805213577 584589704 410041065 
222302167 946958792 533587949 4929431 234075826 
99627070 340233894 20230763 341195339 995371897 
91232220 519029872 464380959 635491360 120742605 
44947864 208313302 599309034 431894390 479097679 
925819700 690648180 480011821 20997058 647034966 
252495604 700906713 516409309 588771795 350187470 
527035767 434032644 558813688 837958142 702317489 
117089593 236912286 998234679 998234014 879420605 
768063422 232295153 727824869 63704232 114144503 
147862727 209075644 357701416 441176515 44695815 
240082571 832528865 830487186 224761774 678141521 
518547944 834680352 731392906 656300272 71828551 
152865356 32917399 806444671 574150728 973484338 
310345565 359609847 733657091 489028709 771341621 
817263861 400883273 864491843 28798092 861014531 
536545940 748881702 9790252 708668567 217419446 
399222801 464401007 815443902 357917203 420655220 
509466685 306795845 758768437 907393424 440413172 
176693237 970122888 358981618 530595524 414959505 
213773694 478554405 623172870 49113374 262541602 
528075616 860119160 39962073 305334799 713516460 
605816183 633553105 945973043 668397176 305156080 
192064640 13602066 419974281 535389116 954865177 
4744741 724362708 972311318 846520919 410540558 
764355574 559373315 501078025 105261950 350213930 
110811830 416302941 506539610 553572510 386470842 
461331220 990498745 699606622 535350029 771748089 
430093402 856096641 737404794 922123883 576802715 
825805722 301125891 582857686 947254140 522804924 
696945688 719360411 152055044 743302010 394402943 
685206312 178272741 268425504 72203754 436111703 
537834311 921085499 213402362 893195459 108473113 
70281771 45708523 744551805 500785544 334320803 
414394764 851546017 423586812 954523151 998496127 
584431892 601320548 902694499 155041595 946477856 
893086083 407765612 229523169 42433354 60677638 
365379621 197295081 118180939 344416741 167886554 
458811075 172190471 698411611 984148762 19915244 
80858064 107550989 774401684 884954771 102870756 
650533537 541642414 609145811 25530738 73270610 
710166404 532837128 854379615 313894398 313624671 
694360105 254265931 623938901 25318687 750232286 
986743607 64160935 898237399 851692526 688734070 
354227423 448404647 366112885 113025464 191378478 
697708159 180764553 986007822 955337504 89517946 
257145611 811561382 790027240 845938894 292485781 
653999423 103596026 853634658 916052009 207923532 
695756886 42633284 152319624 916532435 261135812 
752248072 18764424 687988200 761295716 705332160 
18690005 124558856 270957765 234813 666655840 
12145393 659441424 630522851 862837886 17991955 
615235244 383585468 172211014 415424658 225192002 
330048287 499326502 120154265 681385259 672676314 
690195425 431872763 782629008 832872517 533348558 
25033305 928061238 953502253 747958852 472991544 
246181367 986193837 192482526 780932930 857734580 
578959900 989756382 170757091 115608577 673705016 
411752907 854958008 899615328 147764771 121471622 
771339018 694935462 255253638 626171060 633111587 
935732929 73397726 998808778 711693427 991170013 
232233168 331101906 716300595 655450043 139709505 
938840309 762978502 672458210 706935010 485919566 
830515573 903426685 853078263 127867482 357084259 
227097975 634838728 383239401 332458163 688033287 
29636941 546140058 14236149 58846474 384501761 
228146583 861547083 427377646 342090024 668300792 
85322688 21814997 547360179 805148794 910073654 
337841 934280195 760302194 446450246 985042325 
386394707 892343513 306038008 80567783 791254512 
797932437 189378484 493719554 74321518 805896602 
449385821 172537232 116494892 147950243 537215232 
84717792 751854136 414852223 191468275 103056656 
906649737 308422414 945276163 919439844 683154453 
397381298 174240225 841779035 902987114 118803310 
554662000 566566314 231701255 743618702 512236057 
850203764 358627294 626228376 566838255 458633767 
18282952 309186200 157309546 172261403 77865647 
638461437 865028004 508426880 109447422 60022371 
265477088 464597807 118807445 912894114 707457594 
464089334 392807017 481286679 86713742 451052237 
668879110 777043135 209952679 743335366 455180126 
690194589 898335297 538996806 978186146 921717310 
495131054 818226516 601608267 413197826 371302601 
598396846 186871439 483547541 139811638 915431407 
616923961 237623958 919311985 339206993 2945931 
741420872 610707809 957064270 281061737 859001953 
579297922 369008839 985049533 922231518 221153989 
797721196 602225096 546304863 385585006 433439626 
196428359 740264378 928336047 589482879 775793989 
48399902 369550360 579843226 345551441 89268931 
324314634 225439374 534956634 71715874 519544168 
592931297 246776271 295158035 386098911 380120216 
845916359 544145431 863341460 202769287 726381418 
631329998 834439787 785019927 790848654 13121589 
112195086 94802080 614441202 576316889 712893048 
817285112 338048517 320965328 723580634 523027314 
397469800 10377240 677261688 779036244 730635248 
98009383 321798871 993854213 695581753 647037103 
941603252 988155669 714841195 375909705 605664522 
955424164 776274351 306965411 337696362 475438457 
874772061 897697221 419454179 702493629 191345469 
111471145 346056662 332318637 231369560 516217006 
172192042 782503985 225363536 284514500 68488811 
113779200 848933217 964513628 292691685 177872426 
469879196 809115106 133062995 320439348 257354637 
897780812 570716203 153788235 326686158 195326446 
961374689 755260805 726137268 657960337 327326095 
778249880 141924891 508863861 697971359 140343690 
805628365 191342402 413026564 457065086 883741814 
669170813 242701738 211732289 106716898 434100337 
322030865 692310090 669824806 666497362 328434557 
603564570 314488173 657409483 668035297 310594545 
339779719 356314777 341573517 386050440 55670942 
494974378 785344094 447390787 892024710 843755869 
43189199 249723922 866650354 929439475 4015729 
987579233 2855692 583403628 6339120 54254728 
147268015 658027104 382699413 887771067 950768834 
869948846 707182243 639885484 489711482 48495206 
572378023 867345161 150779370 72566527 255298553 
58672957 422102589 160606654 993894822 893577935 
957203910 914719885 309315046 418108953 322132173 
17040393 481375649 546050919 875918982 171013124 
920892917 693658402 713180416 842684835 865873369 
124576813 359072608 230204125 902555293 167852706 
664443266 599135653 124650590 394848297 48734739 
136674328 626565991 228895712 924048334 985287283 
11265380 824042462 456044660 924115458 452020234 
100520433 66987446 416255132 871687281 747558920 
538603798 421266517 202558793 275766552 882154824 
189102615 682993654 141304417 455603512 436276937 
42242467 942372152 595485373 941106681 842435100 
130772918 746341346 622117815 771959642 248200045 
593251690 668010077 765607677 746890983 911719881 
2896609 135999485 585310962 313688434 170533485 
69645345 344536603 557346699 240990651 948745063 
819349687 412227250 561848672 758334411 757001423 
314453171 119725918 771587585 596608879 709403355 
286812443 882564043 879996491 747083723 293890136 
35821792 678776961 777426565 43235599 146328857 
397416887 612776268 59347733 753827478 367162191 
290149862 835633751 120659109 835076520 845838525 
558484134 146592066 251868431 459649315 616958352 
880734213 68472858 477663831 396109755 881664992 
616848629 989339160 7629335 618484244 760216084 
849718785 585623501 405376056 161888230 808138999 
647223881 90897610 988898309 279997166 980697387 
563763715 357103704 484100152 338471408 732832384 
895188241 584341224 178015482 306856706 249444836 
939567154 450195281 578660338 474512612 996302935 
312179113 403611481 12972323 96705170 846265954 
622725942 840859752 220752183 417005740 612502900 
461947370 890111282 490018567 482843243 901437824 
227895099 404201726 658796074 769558682 988305798 
650453420 239609456 355146568 942967773 89160901 
262724931 374751396 133469050 797324464 154117944 
921236422 299676451 266937845 55630038 437683372 
877215839 221692831 388107470 881767975 184641467 
534802943 626716027 83628755 14098755 656094367 
572390859 512099582 232291555 420340203 268109184 
152479272 777451764 282598495 934564172 451380052 
555188846 373399446 70754498 757445634 734313948 
76672327 18441319 473197192 668885688 472988181 
675078765 767578862 917301357 773420887 870110060 
337187328 430019943 675766098 912463359 335308365 
794425141 978016625 639239562 407254245 403549240 
384442376 514464348 73196193 180346816 477878908 
127231422 110703921 471243813 436993476 543592311 
326409542 471889298 830443017 774792430 531178597 
77566543 767831795 983058257 584579001 113733018 
373777484 441316727 666427156 486792502 296939568 
172388130 744454402 399247499 9368072 494506790 
142851042 428161512 549117074 399044235 466946654 
450000925 114296632 35191115 573874110 301447578 
246274301 484665524 501491203 540421720 331175034 
5103737 384400877 209276761 899543102 920309636 
184547756 919059074 799676632 709810173 150432745 
485665399 777528763 664564841 793947283 112021960 
540659721 865878990 38456530 858831584 434340647 
936657778 590000490 725666776 742305074 279816600 
936230370 265001466 662351680 309956217 647284098 
217922466 937083977 202084098 257387209 869976931 
53218984 254002865 597953423 581023482 287366662 
414306710 869305627 431907473 329475199 215970781 
339729156 798651465 901442795 729887492 934096017 
508663371 653226092 618818094 173982486 198456680 
370696068 626697593 57758599 955904662 279017529 
319521172 472182158 913408588 135373210 858822623 
540951668 252177617 261714463 283664857 887113518 
175723867 550315525 45716814 508069660 488721247 
334634447 596773317 324221889 74575717 316808700 
365855636 952439406 646148592 749542436 559702701 
644476597 944418445 757323785 617904592 260358154 
875587904 161058765 54897258 884104220 275689433 
323442238 969842715 408380288 243958314 167253431 
906818256 982456559 498011433 851072000 301370822 
160107256 961642557 866341188 589537128 300662135 
700155652 179182712 281918880 514391398 713291915 
248649011 362290569 323011498 74984708 505462250 
414425079 373948292 58152904 848375682 476900165 
652074531 799444177 185445277 578652071 668860290 
755325688 11200890 461408186 993970091 753426609 
322394645 155821183 924075352 395805444 771212705 
15704736 223835443 722525634 152390876 562095475 
138468485 497621068 189249137 817758814 509143938 
105404471 494187986 622555505 211698310 931131714 
960042241 389977125 482932907 616494596 300979511 
661949347 874508654 788815366 725551786 126106769 
105786986 299022517 592451047 233913071 27178440 
203947242 162840638 607445825 800794229 430504309 
177903834 469493167 192623081 345208686 695899990 
978037036 9560236 891134048 643486087 936885798 
698783329 467725871 475430576 545412648 655720594 
342798062 688569658 599506562 372665632 568345458 
55145672 34131487 568444854 696446179 31267241 
151018326 896994846 948223936 842731641 843229043 
597199739 453773787 856756941 556801667 794264367 
238820002 294418316 503648260 19849780 609164663 
269606466 892355029 530080305 891042286 529549071 
779071677 225899492 221681305 63632260 288422488 
773146216 563472328 147057664 84945002 272662495 
843221117 740815240 670745675 478834461 965186195 
735257767 600947732 343029826 256765604 591328479 
102644064 832301881 530450687 68968001 397492242 
479727920 132955812 71845041 407941217 799415153 
299531408 224319409 311423868 801459180 285957550 
610584055 586234447 147233732 302366297 485958720 
264023623 355362425 55888037 22430379 617840644 
766063365 585158708 666009078 613657099 321505163 
355931272 37481059 536886093 301186197 194949861 
106742036 521005162 982832467 663723810 547191582 
695513712 866417458 96997640 45198069 388323884 
469612602 336408876 380193767 374599025 241113832 
592486221 412269050 22572734 483997588 8892930 
699110634 785366683 448811259 912088021 498864046 
384850863 845455192 148410164 345690565 757822834 
170694502 595246297 364733592 745622094 627245182 
420358965 750867788 579059142 635627598 31126162 
235288923 83143309 799671431 660356610 352351498 
282311646 242651699 442050450 830126182 148559731 
857443437 276019313 949600943 788100766 257461449 
23763674 87231630 919979404 999031758 582993520 
406069663 903236003 774103742 399432475 285140964 
366221285 628621476 81115206 78745004 859958220 
345399935 918114957 300433526 424063309 885672268 
575706251 375584803 938051246 630396504 630918179 
580488585 911022236 241840372 392888521 232419512 
208406126 928059579 315371997 643487692 248824867 
421231555 505044535 249809362 217032825 425465138 
36506930 387887107 177003866 788017206 453099541 
453173115 404477074 237677664 935254283 919660787 
557860807 880462763 149229906 510485230 76049583 
799808072 966764446 162921423 109527197 776109039 
428111217 910173189 201921598 565164546 25256528 
777325786 52085777 904831287 201985213 756193420 
201400489 473101128 25946440 437499878 367404049 
639788007 40769786 841998910 67056058 946373259 
203837111 391167349 141961407 55160982 320784385 
29676448 975728150 348799775 994526201 322513501 
230947480 909664751 360927239 29386712 851995592 
300124091 719895626 91713682 24616174 400329644 
764984585 793928002 797030419 979109149 939704350 
523327423 678237995 588345090 946559162 749964086 
965557916 914890724 854091460 228859322 597549878 
6770132 175655936 497056780 403801430 335771125 
709895323 222426767 572365026 558566469 928221020 
808924781 245493889 951367623 552373078 895253018 
72304169 442598270 490903439 846053907 975297022 
765111528 149017887 5474563 569727555 982384816 
29382434 334299352 419324481 189237336 868329157 
529524996 366964417 55316612 979967100 998850898 
603975304 203172419 245637889 381483436 103852069 
627128769 141311396 986640519 567662632 93070866 
769711065 388001263 60103618 834535422 552646089 
559625395 887436687 41862155 118743416 695428812 
614415622 408985702 372713952 459676237 785687161 
512606701 462322987 544493078 687104340 194627144 
318613921 722075397 784522226 126821255 423047603 
287242544 675570169 727224970 969621404 335215325 
263910841 511975541 77880114 259540347 246731351 
737371803 601984144 985241750 861181476 554883139 
668827469 457241378 784751213 107140620 844087638 
293282012 628219083 354455285 484933617 610715812 
48176414 771136005 919349695 953874223 149847858 
973197607 639275964 406635680 211181400 42312179 
654319548 972568321 527107009 999410237 711061280 
552725190 54315477 816080889 860945840 514205416 
389059090 172308356 171967025 276075044 502137241 
892102788 892001962 832759279 595249013 645036418 
524771082 160860116 277673523 51086383 177284201 
9770785 522087310 561582238 663541592 859709817 
535814578 371923157 304214422 52269165 824257017 
374059665 930377885 913050223 107048142 262763236 
505626586 577419851 65553058 199805844 966714036 
583524470 664079310 250207218 885933994 226775239 
881926642 663307485 368769583 752199738 367492587 
405175508 571274043 355683929 692979436 224410487 
203504450 517073330 180581088 943382423 966118579 
599838864 451654737 223591223 636111672 631526807 
128561279 568668030 53337656 856906677 159406277 
979587575 516750698 158549052 807448633 453476557 
780973397 419327255 323712290 857490167 495752338 
819978388 592649174 371627938 516406951 404498417 
516935533 707783926 242517213 118818745 742194265 
986009179 849019366 406279994 161667710 677982158 
87441042 279302804 370671779 754153458 375843372 
349344048 687295741 377375198 272361367 545613611 
130174162 572614482 722779992 591580622 396599095 
773234529 447719826 365925968 842438801 915641849 
464379021 576095086 814472073 706954832 952674502 
194197725 337742826 555209370 487809039 460322916 
760224725 520420416 28739272 731920931 303345108 
658978280 539826051 877825550 599917925 596596820 
432606259 172010249 645311069 806578366 982299737 
571231795 646074793 517588218 825929251 544902707 
600141239 280046227 702776453 417242010 747344325 
971619622 80440051 212052764 244821854 429810410 
192894292 802920491 918239920 631634618 233123745 
180683523 521435676 230273625 507750822 716654267 
113829491 253688884 571128445 769364793 551945354 
658030454 487302195 148959293 761018781 632654905 
796129572 197083849 154482759 416806176 767118098 
759082473 125586410 47444512 136216132 226800409 
637377505 30474257 64918809 873823579 195000709 
533655681 223322865 997118088 322975860 829999714 
189018300 992981633 991466819 973520042 44416835 
109023698 123470725 305500467 82090414 234260446 
888619675 821651644 401833069 943527319 437446011 
413794179 550792334 637742027 345779566 738065307 
510044232 613517857 766396555 249040904 653902593 
69485404 868630655 4328995 730055262 909833991 
143668058 749767886 653238827 234827580 381945940 
89524654 206577811 280945791 947619305 568562683 
610171323 332967524 444216762 596692642 727126866 
738897036 360899789 627959929 144809810 851085521 
295770672 494285322 102815392 427641382 242750305 
122471626 512032421 735699145 993876675 123795949 
647566171 219930978 311232600 322800837 226620321 
581583315 671687989 826722899 12511097 461507644 
214185717 758052277 145972901 35271962 420706197 
484343299 783947785 60130061 91907179 964870063 
309679914 102647693 954892731 212863270 116346555 
389852419 225418189 331681047 103200668 278404504 
551148023 12120936 773699831 534695703 983651460 
449155110 76034708 152055767 846192742 182428861 
515292173 946854213 214278685 782949739 87225893 
429917783 532886961 17812425 182593739 189793795 
950380843 262152970 310297412 850082814 565873913 
891595446 924042533 126220138 531516770 911877191 
89690148 697364130 930640552 509623363 893774389 
407086124 892426118 655153505 239994001 988109225 
910382452 175392540 901938722 461409411 133208541 
115391064 512902591 23929810 555772138 113170174 
863458915 121347961 112385984 314657025 616861551 
568243945 3758673 705740876 851764194 823112633 
878569779 345588003 21228254 488876803 66881905 
22884653 120227572 791697264 130359799 772175073 
477670446 294128354 116674807 27557508 839758599 
485304722 264887141 106884178 93051216 350769041 
620431696 576680527 462411632 444525287 928008069 
450372517 567780672 103448683 965596951 976093018 
951558069 970268030 706358239 693218918 573802685 
430308927 297972029 362036283 260981559 909643571 
323184210 34973309 366570558 545278475 437753119 
